SELECT   CONCAT(ART_TIPMOV,'-',ART_CODSAL) as T,  ART_CANTID as C,  ART_FECHA, ART_PRECIO, ART_PREDOL as D FROM  `STS_MOVIM0` WHERE    ART_CODIGO = ' 000001801609000000000';

+-------+----+------------+------------+-------+
| T     | C  | ART_FECHA  | ART_PRECIO | D     |
+-------+----+------------+------------+-------+
| E1- 1 |  2 | 1999-06-04 |      18.66 |     0 |
| E1- 1 |  5 | 1999-06-18 |      18.66 |     0 |
| S1-22 |  2 | 1999-06-22 |      18.66 |     0 |
| S3-   |  1 | 1999-07-05 |      18.66 |     0 |
| S3-   |  2 | 1999-07-05 |      18.66 |     0 |
| S1-22 |  1 | 1999-07-06 |      18.66 |     0 |
| E1- 1 | 10 | 1999-07-15 |      18.66 |     0 |
| S1-23 |  3 | 1999-08-17 |      18.66 |     0 |
| S3-   |  1 | 1999-08-25 |      18.66 |     0 |
| S1-22 |  3 | 1999-08-25 |      18.66 |     0 |
| E1- 1 |  5 | 1999-09-02 |      18.66 |     0 |
| E1- 1 |  5 | 1999-09-14 |      18.66 |     0 |
| S1-22 |  2 | 1999-09-28 |      18.66 |     0 |
| S1- 1 |  1 | 1999-10-28 |      18.66 |     0 |
| S1-22 |  4 | 1999-11-02 |      18.66 |     0 |
| S3-   |  2 | 1999-11-04 |      18.66 |     0 |
| S1- 1 |  1 | 1999-11-08 |      18.66 |     0 |
| S1- 1 |  1 | 1999-11-11 |      18.66 |     0 |
| E1- 1 | 10 | 1999-12-20 |      18.66 |     0 |
| S1- 1 |  1 | 1999-12-27 |      18.66 |     0 |
| S3-   |  1 | 2000-01-03 |      18.66 |     0 |
| S1-23 |  5 | 2000-01-05 |      18.66 |     0 |
| S1-22 |  3 | 2000-01-14 |      18.66 |     0 |
| S1- 1 |  1 | 2000-01-18 |      18.66 |     0 |
| S1- 1 |  1 | 2000-02-23 |      18.66 |     0 |
| S1-22 |  1 | 2000-03-01 |      18.66 |     0 |
| E1- 1 |  6 | 2000-03-03 |      18.66 |     0 |
| S3-   |  5 | 2000-03-07 |      18.66 |     0 |
| S1- 1 |  1 | 2000-03-09 |      18.66 |     0 |
| S3-   |  1 | 2000-03-14 |      18.66 |     0 |
| E1-22 |  1 | 2000-03-16 |      18.66 |     0 |
| E1- 1 |  4 | 2000-03-16 |      18.66 |     0 |
| S1- 1 |  1 | 2000-03-16 |      18.66 |     0 |
| E1- 1 |  2 | 2000-03-21 |      22.58 |     0 |
| S1-22 |  2 | 2000-03-29 |      18.66 |     0 |
| E1- 1 |  6 | 2000-03-30 |      18.66 |     0 |
| E1- 1 | 10 | 2000-03-30 |      18.66 |     0 |
| S1- 1 |  1 | 2000-04-11 |      22.58 |     0 |
| S3-   |  1 | 2000-04-24 |      18.66 |     0 |
| S1- 1 |  1 | 2000-04-24 |      22.58 |     0 |
| S1- 1 |  1 | 2000-04-25 |      18.66 |     0 |
| S1- 2 |  1 | 2000-05-03 |      18.66 |     0 |
| E1- 1 | 10 | 2000-05-05 |      18.66 |     0 |
