SELECT   CONCAT(ART_TIPMOV,'-',ART_CODSAL) as T,  ART_CANTID as C,  ART_FECHA, ART_PRECIO, ART_PREDOL as D FROM  `STS_MOVIM0` WHERE    ART_CODIGO = ' 000001802009000000000';

+-------+----+------------+------------+------+
| T     | C  | ART_FECHA  | ART_PRECIO | D    |
+-------+----+------------+------------+------+
| E1- 1 | 20 | 1999-12-21 |      11.86 |    0 |
| S1-22 |  5 | 2000-02-14 |      11.86 |    0 |
| E3-91 |  5 | 2000-02-14 |      11.86 |    0 |
| S1-23 |  5 | 2000-02-14 |      11.86 |    0 |
| S1- 1 |  1 | 2000-02-15 |      11.86 |    0 |
| S1- 1 |  1 | 2000-02-21 |      11.86 |    0 |
| S3-   |  2 | 2000-02-21 |      11.86 |    0 |
| S1-22 |  6 | 2000-02-22 |      11.86 |    0 |
| S1- 1 |  1 | 2000-02-23 |      11.86 |    0 |
| S1- 1 |  1 | 2000-02-24 |      11.86 |    0 |
| S1- 1 |  1 | 2000-02-24 |      11.86 |    0 |
| S1- 1 |  1 | 2000-02-29 |      11.86 |    0 |
| S1- 1 |  1 | 2000-03-02 |      11.86 |    0 |
| E1- 1 |  2 | 2000-03-08 |      13.44 |    0 |
| S1- 1 |  1 | 2000-03-08 |      13.44 |    0 |
| S1- 1 |  1 | 2000-03-08 |      13.44 |    0 |
| E1- 1 | 20 | 2000-03-16 |      11.86 |    0 |
| E1- 1 | 20 | 2000-03-16 |      11.86 |    0 |
| S1-22 |  4 | 2000-03-16 |      11.86 |    0 |
| S1- 1 |  1 | 2000-03-20 |      11.86 |    0 |
| S3-   |  1 | 2000-03-20 |      11.86 |    0 |
| S1- 1 |  1 | 2000-03-21 |      11.86 |    0 |
| S1- 1 |  1 | 2000-03-22 |      11.86 |    0 |
| S1- 1 |  1 | 2000-03-27 |      11.86 |    0 |
| S1- 1 |  1 | 2000-03-27 |      11.86 |    0 |
| S1- 1 |  1 | 2000-03-27 |      11.86 |    0 |
| S1- 1 |  1 | 2000-03-27 |      11.86 |    0 |
| S1- 1 |  1 | 2000-03-27 |      11.86 |    0 |
| S3-   |  1 | 2000-03-28 |      11.86 |    0 |
| S1- 1 |  1 | 2000-03-28 |      11.86 |    0 |
| E1- 1 | 20 | 2000-03-28 |      11.86 |    0 |
| S1- 1 |  1 | 2000-03-29 |      11.86 |    0 |
| S1-22 |  5 | 2000-03-29 |      11.86 |    0 |
| S1- 1 |  1 | 2000-03-30 |      11.86 |    0 |
| S1- 1 |  1 | 2000-03-30 |      11.86 |    0 |
| S3-   |  2 | 2000-03-31 |      11.86 |    0 |
| S3-   |  3 | 2000-04-03 |      11.86 |    0 |
| S1- 1 |  1 | 2000-04-04 |      11.86 |    0 |
| S3-   |  3 | 2000-04-05 |      11.86 |    0 |
| E1- 1 |  2 | 2000-04-05 |      13.44 |    0 |
